CompanyName,PrevSymbol,NewSymbol,Date
 NIPPON INDIA MF - NIPPON INDIA Dual Advantage FTF  Sr. x Plan E -  GO,RDAXEDG,NDAXEDG,30-10-2019
 NIPPON INDIA MF - NIPPON INDIA Dual Advantage FTF  Sr. x Plan E - DPO,RDAXEDD,NDAXEDD,30-10-2019
 NIPPON INDIA MF - NIPPON INDIA Dual Advantage FTF  Sr. x Plan E-DPGO,RDAXEDDG,NDAXEDDG,30-10-2019
 NIPPON INDIA MF-NIPPON INDIA Dual Advantage FTF Sr.x Plan E- DP- DPO,RDAXEDDD,NDAXEDDD,30-10-2019
360 ONE WAM LIMITED,IIFLWAM,360ONE,23-01-2023
3M India Limited,BIRLA3M,3MINDIA,15-06-2004
3P Land Holdings Limited,PDUMJEAGRO,PDUMJEIND,28-03-2008
3P Land Holdings Limited,PDUMJEIND,3PLAND,04-05-2018
63 moons technologies limited,FINANTECH,63MOONS,19-01-2017
A2Z Infra Engineering Limited,A2ZMES,A2ZINFRA,31-12-2014
AJR INFRA AND TOLLING LIMITED,GAMMNINFRA,AJRINFRA,16-08-2021
AMBANI ORGOCHEM LIMITED,AMBANIORG,AMBANIORGO,01-08-2024
AMD Industries Limited,AMDMET,AMDIND,25-02-2008
ANDHRA PAPER LIMITED,IPAPPM,ANDPAPER,22-01-2020
ANDHRA PAPER LIMITED,APPAPER,IPAPPM,21-01-2014
ANDHRA PAPER LIMITED,ANDPAPER,ANDHRAPAP,05-03-2020
ANG Industries Limited,ANGAUTO,ANGIND,16-06-2010
ARVIND PORT AND INFRA LIMITED,ACSAL,ARVINDPORT,09-12-2024
ATLANTAA LIMITED,ATLANTA,ATLANTAA,15-12-2023
ATN International Limited,ARIHANTCRE,ATNINT,17-09-2003
AVRO INDIA LIMITED,AVONMPL,AVROIND,01-11-2019
AXISCADES Technologies Limited,IT&T,AXIS-IT&T,16-08-2005
AXISCADES Technologies Limited,AXIS-IT&T,AXISCADES,08-10-2014
AYM Syntex Limited,WELSYNTEX,AYMSYNTEX,03-02-2016
Aban Offshore Limited,ABANLOYD,ABAN,18-08-2006
Aban Offshore Limited,ABANLLOYD,ABANLOYD,17-01-2005
Abhishek Corporation Limited,AML,ABHISHEK,26-06-2008
Accelya Solutions India Limited,KALECONSUL,ACCELYA,06-09-2012
Adani Energy Solutions Limited,ADANITRANS,ADANIENSOL,24-08-2023
Adani Enterprises Limited,ADANIEXPO,ADANIENT,20-09-2006
Adani Ports and Special Economic Zone Limited,MUNDRAPORT,ADANIPORTS,17-01-2012
Adani Total Gas Limited,ADANIGAS,ATGL,13-01-2021
Aditya Birla Chemicals (India) Limited,BCCL,ABCIL,09-03-2009
Aditya Birla Chemicals (India) Limited,BIHARCAUST,BCCL,05-12-2005
Aditya Birla Fashion and Retail Limited,PFRL,ABFRL,29-01-2016
Aditya Birla Money Limited,APOLLOSIND,BIRLAMONEY,09-09-2009
Aditya Birla Nuvo Limited,INDRAYON,ABIRLANUVO,07-12-2005
Aditya Birla Real Estate Limited,CENTURYTEX,ABREL,10-10-2024
Ador Welding Limited,ADVANIORLI,ADORWELD,27-09-2004
Adroit Infotech Limited,SPHEREGSL,ADROITINFO,19-04-2018
Adroit Infotech Limited,COLORCHIPS,SPHEREGSL,13-10-2015
Adroit Infotech Limited,ARHAMFISCL,COLORCHIPS,04-04-2006
Advani Hotels & Resorts (India) Limited,RAMADHOTEL,ADVANIHOTR,25-06-2007
Aegis Logistics Limited,AEGISCHEM,AEGISLOG,07-06-2024
Aftek Limited,AFTEKINFO,AFTEK,27-11-2006
Agro Tech Foods Limited,ITCAGRO,ATFL,31-12-2002
Ajmera Realty & Infra India Limited,SHREE,AJMERA,23-06-2009
Akzo Nobel India Limited,ICI,AKZOINDIA,27-05-2010
Alembic Limited,ALMBICHEM,ALEMBICLTD,22-09-1999
Alicon Castalloy Limited,ENKEI,ALICON,04-03-2011
Allcargo Gati Limited,GATI,ACLGATI,30-11-2023
Alldigi Tech Limited,ALLSEC,ALLDIGI,27-09-2024
Amara Raja Energy & Mobility Limited,AMARAJABAT,ARE&M,27-10-2023
Ambuja Cement Rajasthan Limited,DLFCEMENT,AMBUJARAJN,20-08-2001
Ambuja Cements Limited,GUJAMBCEM,AMBUJACEM,24-07-2007
Amj Land Holdings Limited,PDUMJEPULP,AMJLAND,19-01-2018
Angel One Limited,ANGELBRKG,ANGELONE,11-11-2021
Anik Industries Limited,MPGLYCEM,ANIKINDS,21-05-2008
Ansal Properties & Infrastructure Limited,ANSALPROP,ANSALINFRA,27-01-2006
Ansal Properties & Infrastructure Limited,ANSALINFRA,ANSALAPI,14-05-2010
Apcotex Industries Limited,APCOTEXLAT,APCOTEXIND,01-11-2006
Arihant Academy Limited,AAL,ARIHANTACA,02-01-2023
Arrow Greentech Limited,ARROWCOAT,ARROWGREEN,11-05-2016
Arvind Limited,ARVINDMILL,ARVIND,07-07-2008
Arvind SmartSpaces Limited,ARVINFRA,ARVSMART,05-12-2016
AstraZeneca Pharma India Limited,ASTRAIDL,ASTRAZEN,10-04-2007
Atcom Technologies Limited,ATCOIND,ATCOM,29-04-2004
Atul Limited,ATULPROD,ATUL,10-03-2005
Aurum PropTech Limited,MAJESCO,AURUM,22-10-2021
Ausom Enterprise Limited,COREBIO,COREEMBLG,15-10-2001
Ausom Enterprise Limited,COREEMBLG,AUSOMENT,01-12-2009
Automotive Stampings and Assemblies Limited,JBMT,ASAL,14-10-2003
Aventus Buildcon Limited,RATNAINFRA,AVENTUS,03-08-2017
Axis Bank Limited,UTIBANK,AXISBANK,16-08-2007
Aztecsoft Limited,AZTEC,AZTECSOFT,20-09-2006
BALAXI PHARMACEUTICALS LIMITED,ANANDAMRUB,BALAXI,27-09-2017
BIRLASOFT LIMITED,KPIT,BSOFT,26-02-2019
BOROSIL RENEWABLES LIMITED,BOROSIL,BORORENEW,20-02-2020
BS Limited,BSTRANSCOM,BSLIMITED,29-11-2012
BSEL Infrastructure Realty Limited,BSELINFO,BSELINFRA,12-03-2004
Baba Agro Food Limited,SKML,BABAFOOD,27-05-2019
Bajaj Consumer Care Limited,BAJAJCORP,BAJAJCON,15-01-2019
Bajaj Finance Limited,BAJAUTOFIN,BAJFINANCE,29-09-2010
Bajaj Holdings & Investment Limited,BAJAJAUTO,BAJAJHLDNG,14-03-2008
Balkrishna Paper Mills Limited,NIRVIKARA,BALKRISHNA,06-09-2016
Banco Products (I) Limited,BANCOPROD,BANCOINDIA,22-12-2006
Bhagyanagar India Limited,BAGYAMETAL,BHAGYNAGAR,12-09-2006
Bhansali Engineering Polymers Limited,BHANSALENG,BEPL,21-03-2005
Bharat Bijlee Limited,BARATBIJLE,BBL,21-11-2006
Bharat Financial Inclusion Limited,SKSMICRO,BHARATFIN,01-07-2016
Bharati Defence and Infrastructure Limited,BHARTISHIP,BHARATIDIL,26-02-2016
Bharti Airtel Limited,BHARTI,BHARTIARTL,19-06-2006
Birla Cable Limited,BIRLAERIC,BIRLACABLE,26-09-2016
Birla Corporation Limited,BIRLAJUTE,BIRLACORPN,28-07-2008
Birla Power Solutions Limited,BIRLAYAMAH,BIRLAPOWER,06-06-2007
Bkm Industries Limited,MANAKINDST,BKMINDST,23-11-2017
Black Box Limited,AVAYAGCL,AGCNET,08-06-2010
Black Box Limited,AGCNET,BBOX,03-12-2021
Black Box Limited,TATATELECM,AVAYAGCL,01-11-2004
Blue Coast Hotels Limited,MOREPENHTL,BLUECOAST,05-12-2006
Bosch Chassis Systems India Limited,KALYANBRAK,BOSCHCHASY,10-02-2006
Bosch Limited,MICO,BOSCHLTD,28-02-2008
Brabourne Enterprises Limited,RPGLS,BRABOURNE,14-03-2008
Brabourne Enterprises Limited,SEARLEIND,RPGLS,05-12-2006
Brightcom Group Limited,LYCOS,BCG,08-10-2018
CARYSIL LIMITED,ACRYSIL,CARYSIL,18-11-2022
CARYSIL LIMITED,1201210518,ACRYSIL,12-01-2021
CG Power and Industrial Solutions Limited,CROMPGREAV,CGPOWER,08-03-2017
CIE Automotive India Limited,MAHINDCIE,CIEINDIA,19-06-2023
CORE Education & Technologies Limited,COREPROTEC,COREEDUTEC,07-09-2011
COSMO FIRST LIMITED,COSMOFILMS,COSMOFIRST,25-07-2022
Capital First Limited,FCH,CAPF,06-12-2012
Capri Global Capital Limited,MMFSL,CGCL,05-08-2013
Career Point Limited,CPIL,CAREERP,16-11-2011
Carol Info Services Limited,WOCKLIFE,CAROLINFO,27-09-2004
Castex Technologies Limited,AMTEKINDIA,CASTEXTECH,11-06-2015
Centurion Bank of Punjab Limited,CENBNK,CENTBOP,06-12-2005
Chennai Petroleum Corporation Limited,MADRASREFN,CHENNPETRO,09-08-2000
Chettinad Cement Corporation Limited,CHETNADCEM,CHETTINAD,17-05-2007
Cholamandalam Financial Holdings Limited,TIFIN,CHOLAHLDNG,09-04-2019
Cholamandalam Investment and Finance Company Limited,CHOLADBS,CHOLAFIN,22-06-2010
Cholamandalam Investment and Finance Company Limited,CHOLAINV,CHOLADBS,01-06-2006
Cineline India Limited,CINEPRO,CINELINE,23-08-2013
Clariant Chemicals (India) Limited,COLORCHEM,CLNINDIA,05-06-2006
Coforge Limited,NIITTECH,COFORGE,20-08-2020
Coral Hub Limited,VITLINFO,CORALHUB,26-07-2010
Coromandel International Limited,COROMNFERT,COROMANDEL,12-10-2009
Country Condo's Limited,NEOCURE,COUNCODOS,31-08-2012
Crest Animation Studios Limited,CRESTCOMM,CRESTANI,04-01-2005
Crest Ventures Limited,SHARYANRES,SHARRESLTD,27-12-2006
Crest Ventures Limited,SHARRESLTD,CREST,16-10-2014
Cummins India Limited,KIRLOSKCUM,CUMMINSIND,17-06-2005
Cura Technologies Limited,SOFTPRO,CURATECH,23-11-2010
Cyient Limited,INFOTECENT,CYIENT,22-05-2014
DCB Bank Limited,DCB,DCBBANK,15-01-2014
DCM Shriram Limited,DCMSRMCONS,DCMSHRIRAM,13-03-2014
DEEP ENERGY RESOURCES LIMITED,DEEPIND,DEEPENR,30-09-2020
DELPHI WORLD MONEY LIMITED,WEIZFOREX,EBIXFOREX,20-03-2020
DELPHI WORLD MONEY LIMITED,EBIXFOREX,DELPHIFX,01-09-2021
DIC India Limited,COATESIND,DICIND,06-09-2004
DMCC SPECIALITY CHEMICALS LIMITED,DHARAMSI,DMCC,02-11-2022
DSP  Mutual Fund - DSP Nifty 50 ETF,DSPN50ETF,NIFTY50ADD,15-02-2024
DSP  Mutual Fund - DSP Nifty 50 Equal Weight ETF,DSPNEWETF,EQUAL50ADD,15-02-2024
DSP  Mutual Fund - DSP Nifty Bank ETF,DSPBANKETF,BANKETFADD,15-02-2024
DSP  Mutual Fund - DSP Nifty Midcap 150 Quality 50 ETF,DSPQ50ETF,MIDQ50ADD,15-02-2024
DSP  Mutual Fund - DSP Silver ETF,DSPSILVETF,SILVERADD,15-02-2024
DSP BSE Sensex ETF,DSPSENXETF,SENSEXADD,15-02-2024
DSP Mutual Fund - DSP Gold ETF,DSPGOLDETF,GOLDETFADD,15-02-2024
DSP Mutual Fund - DSP Nifty IT ETF,DSPITETF,ITETFADD,15-02-2024
DSP Mutual Fund - DSP Nifty PSU Bank ETF,DSPPSBKETF,PSUBANKADD,15-02-2024
DSP Mutual Fund - DSP Nifty Private Bank ETF,DSPPVBKETF,PVTBANKADD,15-02-2024
Dalmia Bharat Limited,DALMIABEL,DALMIABHA,09-01-2013
Dalmia Bharat Sugar and Industries Limited,DALMIACEM,DALMIASUG,30-09-2010
Dalmia Refractories Limited,SHRINATRAJ,DALMIAREF,22-05-2014
Datamatics Global Services Limited,DATATECH,DATAMATICS,20-04-2009
De Nora India Limited,TITANOCOMP,DENORA,20-08-2007
Deccan Cements Limited,DECCANCEM,DECCANCE,02-08-2007
Delta Corp Limited,ARROWGROUP,DELTACORP,11-12-2008
Delta Manufacturing Limited,GPELECT,DELTAMAGNT,15-12-2008
Dewan Housing Finance Corporation Limited,DEWANHOUS,DHFL,22-05-2012
Dhani Loans and Services Limited,ICFL,DHANILOANS,17-09-2020
Dhani Services Limited,IBVENTURES,DHANI,28-10-2020
Dhani Services Limited,IBVENTPP,DHANIPP,28-10-2020
Dhani Services Limited,IBSEC,IBVENTURES,01-04-2015
Dhunseri Ventures Limited,DTIL,DPTL,26-07-2010
Dhunseri Ventures Limited,DPTL,DPL,12-11-2014
Dhunseri Ventures Limited,DPL,DVL,02-01-2019
DiGiSPICE Technologies Limited,SPICEMOBI,DIGISPICE,28-08-2019
DiGiSPICE Technologies Limited,SPICEMOBIL,SMOBILITY,26-07-2011
DiGiSPICE Technologies Limited,SMOBILITY,SPICEMOBI,19-08-2014
Digjam Limited,BVXL,DIGJAM,28-04-2008
Dolat Algotech Limited,DOLAT,DOLATALGO,20-12-2021
Dr. Datson's Labs Limited,AANJANEYA,DRDATSONS,02-09-2013
Ducon Infratechnologies Limited,DYNATECH,DUCON,11-05-2016
E-Land Apparel Limited,MUDRA,ELAND,13-03-2015
EIH Associated Hotels Limited,OBERHOTEL,EIHAHOTELS,08-04-2008
EPL Limited,ESSELPACK,EPL,19-10-2020
Edelweiss Fixed Maturity Plan - Series 14 - DP-GO,JD14G,ED14G,28-11-2016
Edelweiss Fixed Maturity Plan - Series 14 - Direct Plan - Dividend,JD14D,ED14D,28-11-2016
Edelweiss Fixed Maturity Plan - Series 14 - Regular Plan - Dividend,JP14D,E14D,28-11-2016
Edelweiss Fixed Maturity Plan - Series 14 - Regular Plan - Growth,JP14G,E14G,28-11-2016
Edelweiss Fixed Maturity Plan - Series 20 - Direct Plan - Dividend,JD20D,ED20D,28-11-2016
Edelweiss Fixed Maturity Plan - Series 20 - Direct Plan - Growth,JD20G,ED20G,28-11-2016
Edelweiss Fixed Maturity Plan - Series 20 - Regular Plan - Dividend,JP20D,E20D,28-11-2016
Edelweiss Fixed Maturity Plan - Series 20 - Regular Plan - Growth,JP20G,E20G,28-11-2016
Edelweiss Fixed Maturity Plan - Series 35 - Direct Plan - Growth,JD35G,ED35G,28-11-2016
Edelweiss Fixed Maturity Plan - Series 35 - Regular Plan - Dividend,JP35D,E35D,28-11-2016
Edelweiss Fixed Maturity Plan - Series 35 - Regular Plan - Growth,JP35G,E35G,28-11-2016
Edelweiss Fixed Maturity Plan - Series 37 - Direct Plan - Growth,JD37G,ED37G,28-11-2016
Edelweiss Fixed Maturity Plan - Series 37 - Regular Plan - Dividend,JP37D,E37D,28-11-2016
Edelweiss Fixed Maturity Plan - Series 37 - Regular Plan - Growth,JP37G,E37G,28-11-2016
Edelweiss Fixed Maturity Plan - Series 38 - Direct Plan - Growth,JD38G,ED38G,28-11-2016
Edelweiss Fixed Maturity Plan - Series 38 - Regular Plan - Dividend,JP38D,E38D,28-11-2016
Edelweiss Fixed Maturity Plan - Series 38 - Regular Plan - Growth,JP38G,E38G,28-11-2016
Edelweiss Fixed Maturity Plan - Series 40 - Direct Plan - Growth,JD40G,ED40G,28-11-2016
Edelweiss Fixed Maturity Plan - Series 40 - Regular Plan - Dividend,JP40D,E40D,28-11-2016
Edelweiss Fixed Maturity Plan - Series 40 - Regular Plan - Growth,JP40G,E40G,28-11-2016
Edelweiss Fixed Maturity Plan - Series 502 - Dividend Option,J502D,E502D,28-11-2016
Edelweiss Fixed Maturity Plan - Series 502 - Growth Option,J502G,E502G,28-11-2016
Edelweiss Income Fund - Series 501 - Dividend,J501D,E501D,28-11-2016
Edelweiss Income Fund - Series 501 - Growth,J501G,E501G,28-11-2016
Elecon Engineering Company Limited,ELECONENGG,ELECON,29-09-2006
Elgi Rubber Company Limited,ELGITYRE,ELGIRUBBER,22-12-2008
Emami Realty Limited,EMAMIINFRA,EMAMIREAL,15-11-2018
Entegra Limited,INDUJENERT,ENTEGRA,25-04-2007
Eon Electric Limited,INDOASIFU,EONELECT,18-08-2011
Epigral Limited,MFL,EPIGRAL,11-09-2023
Equinox India Developments Limited,IBREALEST,EMBDL,08-07-2024
Equippp Social Impact Technologies Limited,PROINDIA,EQUIPPP,30-11-2021
Era Infra Engineering Limited,ERACONS,ERAINFRA,25-02-2008
Everest Industries Limited,ETERNEVRST,EVERESTIND,27-05-2005
Excel Realty N Infra Limited,EXCELINFO,EXCEL,05-05-2015
Exide Industries Limited,CHLORIDIND,EXIDEIND,12-09-2005
Expleo Solutions Limited,THINKSOFT,SQSBFSI,30-09-2014
Expleo Solutions Limited,SQSBFSI,EXPLEOSOL,02-05-2019
FORCE MOTORS LTD,BAJAJTEMPO,FORCEMOT,19-08-2019
Fame India Limited,SHRINGAR,FAME,25-02-2008
Fedders Electric and Engineering Limited,FEDDERLOYD,FEDDERELEC,13-06-2017
Federal-Mogul Goetze (India) Limited.,GOETZEIND,FMGOETZE,12-09-2006
Fidelity Mutual Fund - Fidelity Fixed Maturity Plan -SVI- Plan F - DP,FIFMPS6FD,LTFMPS6FD,14-01-2013
Flextronics Software Systems Limited,HUGHESSOFT,FSS,17-03-2005
Fresenius Kabi Oncology Limited,DABURPHARM,FKONCO,19-02-2009
Future Consumer Limited,FCEL,FCONSUMER,25-10-2016
Future Consumer Limited,FVIL,FCEL,17-10-2013
Future Enterprises Limited,FRL,FEL,13-05-2016
Future Enterprises Limited,FRLDVR,FELDVR,13-05-2016
Future Enterprises Limited,PANTALOONR,FRL,11-04-2013
Future Enterprises Limited,PRETAILDVR,FRLDVR,11-04-2013
Future Market Networks Limited,AGRE,FMNL,06-03-2012
G-TEC JAINX EDUCATION LIMITED,KEERTI,GTECJAINX,12-09-2023
GACM Technologies Limited,STAMPEDE,GATECH,14-07-2023
GACM Technologies Limited,SCAPDVR,GATECHDVR,08-08-2023
GB Global Limited,MIL,GBGLOBAL,09-09-2019
GE Power India Limited,ABBALPO,APIL,19-05-2003
GE Power India Limited,AIL,GEPIL,14-09-2016
GE Power India Limited,APIL,AIL,11-07-2012
GE T&D India Limited,GECALSTHOM,AREVA,30-06-2008
GE T&D India Limited,ALSTOMT&D,GET&D,14-09-2016
GE T&D India Limited,AREVA,AREVAT&D,14-07-2008
GE T&D India Limited,AREVAT&D,ALSTOMT&D,12-03-2012
GE Vernova T&D India Limited,GET&D,GVT&D,05-11-2024
GFL Limited,GUJFLUORO,GFLLIMITED,25-07-2019
GMR Industries Limited,GMRVASAVI,GMRINDSTRS,28-04-2006
GMR Airports Infrastructure Limited,GMRINFRA,GMRAIRPORT,11-12-2024
GOCL Corporation Limited,GULFCORP,GOCLCORP,10-11-2015
GP Petroleums Limited,SAHPETRO,GULFPETRO,06-05-2015
GSL Nova Petrochemicals Limited,NOVA,GSLNOVA,18-12-2009
GSS Infotech Limited,GSSAMERICA,GSS,24-08-2011
GTL Limited,GLOBALTELE,GTL,14-01-2005
GTN Industries Limited,GTNTEXT,GTNIND,24-02-2006
GVP Infotech Limited,4THDIM,GVPTECH,31-07-2023
Ganesh Housing Corporation Limited,GANHSGFIN,GANESHHOUC,02-03-2007
Garware Technical Fibres Limited,GARWALLROP,GARFIBRES,13-08-2018
GeeCee Ventures Limited,GWALCHEM,GEECEE,05-03-2010
